"ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM"
"TWTR220610C00020000","REGULAR","USD",2022-06-10,20,20.4,0,0,19.85,20.4,1,1,2022-05-27 12:24:21,3.28906427734375,TRUE
"TWTR220610C00025000","REGULAR","USD",2022-06-10,25,14.11,0,0,14.8,15.6,1,0,2022-05-26 11:56:24,1.71875140625,TRUE
"TWTR220610C00027000","REGULAR","USD",2022-06-10,27,12.9,12.9,NA,12.85,13.45,NA,1,2022-05-31 13:21:49,2.12891092773437,TRUE
"TWTR220610C00028000","REGULAR","USD",2022-06-10,28,11.85,11.85,NA,11.9,12.45,NA,1,2022-05-31 09:52:52,1.1875040625,TRUE
"TWTR220610C00028500","REGULAR","USD",2022-06-10,28.5,11.05,11.05,NA,11.4,11.95,NA,1,2022-06-02 09:48:50,1.125004375,TRUE
"TWTR220610C00029000","REGULAR","USD",2022-06-10,29,10.95,0,0,10.85,11.45,1,16,2022-05-31 09:48:01,1.81445405273437,TRUE
"TWTR220610C00029500","REGULAR","USD",2022-06-10,29.5,11.35,11.35,NA,10.3,10.95,2,0,2022-06-03 12:23:43,1.73828255859375,TRUE
"TWTR220610C00030000","REGULAR","USD",2022-06-10,30,10.2,0,0,9.9,10.5,50,53,2022-05-27 11:26:52,1.125004375,TRUE
"TWTR220610C00031000","REGULAR","USD",2022-06-10,31,9.9,3.2499995,48.872173,8.9,9.35,2,3,2022-06-03 10:04:58,1.3671906640625,TRUE
"TWTR220610C00032000","REGULAR","USD",2022-06-10,32,8.5,8.5,NA,7.9,8.45,1,6,2022-06-03 09:30:50,0.7812521875,TRUE
"TWTR220610C00032500","REGULAR","USD",2022-06-10,32.5,8.15,0.6499996,8.666661,7.45,7.8,1,2,2022-06-03 12:09:22,1.0859420703125,TRUE
"TWTR220610C00033000","REGULAR","USD",2022-06-10,33,6.65,6.65,NA,6.95,7.4,NA,0,2022-06-01 11:57:00,0.687503125,TRUE
"TWTR220610C00033500","REGULAR","USD",2022-06-10,33.5,6.75,2.4499998,56.976734,6.4,7,2,1,2022-06-03 15:23:37,0.7500025,TRUE
"TWTR220610C00034000","REGULAR","USD",2022-06-10,34,5.75,0,0,5.95,6.4,3,5,2022-05-26 12:20:05,0.5937540625,TRUE
"TWTR220610C00034500","REGULAR","USD",2022-06-10,34.5,5.65,0,0,5.45,5.9,1,9,2022-05-31 09:30:03,0.54687953125,TRUE
"TWTR220610C00035000","REGULAR","USD",2022-06-10,35,5.35,0.049999714,0.94339085,5.05,5.45,21,139,2022-06-03 15:36:06,0.69726865234375,TRUE
"TWTR220610C00035500","REGULAR","USD",2022-06-10,35.5,5.05,0.25,5.208333,4.6,5.2,1,29,2022-06-03 11:44:00,0.8242205078125,TRUE
"TWTR220610C00036000","REGULAR","USD",2022-06-10,36,4.35,0.13000011,3.0805717,4.1,4.6,20,27,2022-06-03 15:01:44,0.7070341796875,TRUE
"TWTR220610C00036500","REGULAR","USD",2022-06-10,36.5,4.51,0.6900003,18.062836,3.65,4.05,1,130,2022-06-03 09:37:06,0.64062859375,TRUE
